"Access denied.","Truy cập bị từ chối."
"Can not find webservice adapter.","Không thể tìm adapter của webservice."
"Client Session Timeout (sec.)","Thời gian sử dụng đã hết"
"Default Response Charset","Default Response Charset"
"Email","Email"
"Enable WSDL Cache","Hổ trợ WSDL cache "
"General Settings","Thiết lập cài đặt chung"
"Invalid webservice adapter specified.","Xác định sai adapter của webservice."
"Invalid webservice handler specified.","Xác định xai sử lý của webservice."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Section"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Users"
"Unable to login.","Không có quyền để đăng nhập."
"User Name","User Name"
"WS-I Compliance","WS-I Compliance"
"Web Services","Web Services"
"Your account has been deactivated.","Tài khỏan của bạn đã được kích họat."
