"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s không phải là phương thức so sánh đúng."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> Thiết lập này chỉ áp dụng cho từng dòng item trong giỏ hàng, không phải là tòan giỏ hàng."
"Add Minimum Qty","Thêm số lượng tốt thiểu"
"Allow Qty Below 0","Cho phép số lượng dưới 0"
"Allow Qty Below 0 and Notify Customer","Cho phép số lượng dưới 0 và thông báo cho khách hàng"
"Automatically Return Credit Memo Item to Stock","Tự động trả về mục Credit Memo tới hành hóa"
"Backorders","Backorders"
"By Fixed value","Bởi giá trị cố định"
"By Percentage","Bởi phần trăm"
"Cannot specify product identifier for the order item.","Không thể xác định định danh sản phẩm  cho mục đặt hàng."
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Hàng hóa giảm khi đơn hàng được đặt"
"Display Out of Stock Products","Hiển thị sản phẩm hết hàng"
"Enable Qty Increments","Cho phép tăng số lượng"
"In Stock","Còn hàng"
"Index Product Stock Status","Index Product Stock Status"
"Inventory","Hàng tồn kho"
"Inventory API","API Hàng tồn kho"
"Inventory Section","Mục hàng tồn kho"
"Manage Stock","Quản lý hàng hóa"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được phép trong giỏ hàng"
"Minimum Qty","Số lượng tối thiểu"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được phép trong giỏ hàng"
"No Backorders","No Backorders"
"Not all products are available in the requested quantity","Không phải tất cả sản phẩm đều có khi số lượng được yêu cầu"
"Notify for Quantity Below","Thông báo số lượng dưới đây"
"Only X left Threshold","Only X left Threshold"
"Out of Stock","Hết hàng"
"Product Stock Options","Tùy chọn hàng hóa sản phẩm"
"Qty Increments","Tăng số lượng"
"Qty for Item's Status to Become Out of Stock","Số lượng cho mục trạng thái hết hàng"
"Retrieve stock data","Lấy dữ liệu hàng hóa"
"Retrieve stock data by product ids","Lấy dữ liệu hàng hóa bởi ids của sản phẩm"
"Rule price","Rule price"
"Set Items' Status to be In Stock When Order is Cancelled","Thiết lập mục trạng thái thành có hàng khi đơn hàng bị hủy"
"Some of the products are currently out of stock","Một vài sản phẩm hiện tại đang hết hàng"
"Some of the products cannot be ordered in requested quantity.","Một vài sản phẩm không thể được đặt theo số lượng được yêu cầu."
"Some of the products cannot be ordered in the requested quantity.","Một vài sản phẩm không thể được đặt theo số lượng được yêu cầu."
"Stock Options","Tùy chọn hàng hóa"
"Stock Status","Trạng thái hàng hóa"
"The maximum quantity allowed for purchase is %s.","Số lượng tối đa được phép mua là %s."
"The minimum quantity allowed for purchase is %s.","Số lượng tối thiểu được phép mua là %s."
"The requested quantity for ""%s"" is not available.","Yêu cầu về số lượng ""%s"" không có."
"The stock item for Product in option is not valid.","Mục hàng hóa sản phẩm trong tùy chọn không đúng."
"The stock item for Product is not valid.","Mục hàng hóa sản phẩm không đúng."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","Sản phẩm này hiện tại hết hàng."
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"To Fixed Value","Giá trị cố định"
"To Percentage","Phần trăm"
"Undefined product type.","Lọai sản phẩm không được xác định."
"Update","Cập nhật"
"Update product stock data","Cập nhật dữ liệu hàng hóa sản phẩm"
"Update the Product","Cập nhật sản phẩm"
