"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Card Verification","Kiểm tra lại giỏ hàng"
"Enrolled","Enrolled"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Failed","Failed"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Merchant Liability"
"Not Enrolled","Not Enrolled"
"Order cannot be placed.","Đơn hàng không được đặt."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Xin vui lòng tiếp tục đặt hàng."
"Please verify the card with the issuer bank before placing the order.","Xin vui lòng xác minh thẻ với ngân hàng trước khi đặt hàng."
"Please verify the card with the issuer bank:","Xin vui lòng xác minh thẻ với ngân hàng:"
"Start/Reset Validation...","Start/Reset Validation..."
"Successful","Successful"
"Successful attempt","Nổ lực thành công"
"The card has failed verification with the issuer bank.","Thẻ bị sai khi xác minh với ngân hàng."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Gửi thông tin chi trả sai hoặc thời gian giới hạn bị hết. Xin vui lòng, thử lại."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Gửi thông tin chi trả sai hoặc thời gian giới hạn bị hết. Xin vui lòng, thử lại."
"This card has failed validation and cannot be used.","Thẻ này đã thất bại khi kiểm tra và không thể sử dụng được."
"To ensure the security of your transactions","Để bảo đảm an tòan cho giao dịch của bạn"
"Unable to complete","Không thể hòan thành"
"Validation failed.","Kiểm tra thất bại."
"Verification Failed","Xác minh thất bại"
"Verification Successful","Xác minh thành công"
"Verification cannot be processed","Xác minh không thể được xử lý"
"Verified by Visa","Đã được xác minh bởi Visa"
