"A block identifier with the same properties already exists in the selected store.","Một định danh block với cùng thuộc tính đã tồn tại trong store được chọn."
"A directory with the same name already exists. Please try another folder name.","Một thư mục với cùng tên đã tồn tại. Xin vui lòng thử lại tên một thư mục khác."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Action","Action"
"Add New Block","Thêm Block mới"
"Add New Page","Thêm trang mới"
"All Countries","Tất cả quốc gia"
"An error occurred while saving the page.","Một lỗi đã xuất hiện khi lưu trang."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Bạn có muốn xóa thư mục hiện tại không?"
"Are you sure you want to delete the selected file?","Bạn có muốn xóa file được chọn không?"
"Block","Block"
"Block Information","Thông tin Block "
"Block Title","Tiêu đề Block "
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS Home Page"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS No Route Page","CMS No Route Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page","CMS Page"
"CMS Page Link","CMS Page Link"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","Trang CMS (tất cả)"
"CMS Static Block","CMS Static Block"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory.","Không thể tạo ra thư mục mới."
"Cannot delete directory %s.","Không thể xóa thư mục %s."
"Cannot delete root directory %s.","Không thể xóa thư mục gốc %s."
"Cannot upload file.","Không thể upload file."
"Collapse All","Collapse All"
"Content","Content"
"Content Heading","Content Heading"
"Content Management","Content Management"
"Contents of a Static Block","Contents of a Static Block"
"Create Folder...","Tạo thư mục..."
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","Custom Theme"
"Customer Tax Class Information","Customer Tax Class Information"
"Date Created","Tạo ngày"
"Delete Block","Xóa Block"
"Delete File","Xóa File"
"Delete Folder","Xóa thư mục"
"Delete Page","Xóa trang"
"Description","Mô tả"
"Design","Thiết kế"
"Disabled","Đã vô hiệu"
"Disabled Completely","Hòan thành việc vô hiệu"
"Disabled by Default","Vô hiệu bởi mặc định"
"Edit Block","Sửa block"
"Edit Block '%s'","Sửa block '%s'"
"Edit Page","Sửa trang"
"Edit Page '%s'","Sửa trang '%s'"
"Enable WYSIWYG Editor","Kích họat trình WYSIWYG "
"Enabled","Được kích họat"
"Enabled by Default","Kích họat bởi mặc định"
"Expand All","Mở rộng tất cả"
"General Information","Thông tin tổng hợp"
"Go to Home Page","Về trang chủ"
"Home","Trang chủ"
"ID","ID"
"Identifier","Định danh"
"If empty, the Page Title will be used","Nếu rỗng, tiêu đề trang sẽ được dùng"
"Images (%s)","Hình ảnh (%s)"
"Insert File","Thêm File"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Tên thư mục không hợp lệ. Xin vui lòng, Sử dụng ký tự số, dấu gạch dưới và gạch ngang."
"Keywords","Từ khóa"
"Last Modified","Lần sửa đổi cuối cùng"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Link to a CMS Page","Kết nối tới trang CMS"
"Manage Pages","Quản lý trang"
"Media Gallery","Media Gallery"
"Media Storage","Media Storage"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"New Block","Block mới"
"New Folder Name:","Tên thư mục mới:"
"New Page","Trang mới"
"No files found","Không tìm thấy file"
"Page Information","Thông tin trang"
"Page Layout","Page Layout"
"Page Status","Trạng thái trang"
"Page Title","Tiêu đề trang"
"Pages","Trang"
"Product Tax Class Information","Product Tax Class Information"
"Redirect to CMS-page if Cookies are Disabled","Chuyển hướng tới trang CMS nếu Cookie bị vô hiệu"
"Relative to Website Base URL","Relative to Website Base URL"
"Save Block","Lưu Block"
"Save Page","Lưu Page"
"Save Process","Save Process"
"Select Block...","Lưu Block..."
"Select Page...","Chọn trang..."
"Show Breadcrumbs for CMS Pages","Hiển thị Breadcrumbs cho trang CMS"
"Show Notice if JavaScript is Disabled","Hiển thị thông báo nếu JavaScript bị vô hiệu"
"Static Blocks","Static Blocks"
"Status","Trạng thái"
"Storage Root","Storage Root"
"Store View","Store View"
"Template","Template"
"The block has been deleted.","The block đã bị xóa."
"The block has been saved.","The block đã được lưu."
"The directory %s is not writable by server.","The directory %s is not writable by server."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page has been deleted.","Trang đã được xóa."
"The page has been saved.","Trang đã được lưu."
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists.","Block này không tồn tại."
"This page no longer exists.","Trang này không tồn tại."
"Title","Tiêu đề"
"URL Key","URL Key"
"Unable to find a block to delete.","Không tìm thấy block để xóa."
"Unable to find a page to delete.","Không tìm thấy trang để xóa."
"WYSIWYG Options","Tùy chọn WYSIWYG"
"px.","px."
