"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Liên kết</a>"
"Actions XML is not valid.","Hành động XML là không hợp lệ."
"An error occurred while opening file: ""%s"".","Một lỗi xuất hiện khi mở file: ""%s""."
"Could not load file: ""%s"".","Không thể tải file: ""%s""."
"Could not save file: %s.","Không thê lưu file: %s."
"Declared adapter %s was not found.","Declared adapter %s was not found."
"Destination folder ""%s"" is not a directory.","Thư mục đích ""%s"" không phải là một thư mục."
"Destination folder ""%s"" is not writable.","Destination folder ""%s"" is not writable."
"Done","Done"
"Dry run set, stopping execution.","Dry run set, stopping execution."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Lỗi trường ánh xạ: danh sách trường ánh xạ không được định nghĩa."
"File ""%s"" does not exist.","File ""%s"" không tồn tại."
"Found %d rows.","Không tìm thấy %d hàng."
"Less than a minute","Ít hơn một phút"
"Loaded successfully: ""%s"".","Đã tải thành công: ""%s""."
"Memory Used: %s","Bộ nhớ đã sử dụng: %s"
"Method ""%s"" not defined in adapter %s.","Phương thức ""%s"" không được định nghĩa trong adapter %s."
"Method ""%s"" was not defined in adapter %s.","Phương thức ""%s"" không được định nghĩa trong adapter %s."
"Please declare ""adapter"" and ""method"" nodes first.","Please declare ""adapter"" and ""method"" nodes first."
"Processed records: %s","Processed records: %s"
"Profile with the same name already exists.","Profile cùng tên đã tồn tại."
"Saved successfully: ""%s"" [%d byte(s)].","Đã lưu thành công: ""%s"" [%d byte(s)]."
"Sheet 1","Sheet 1"
"Skip undefined row.","Bỏ qua dòng không được xác định."
"Starting %s :: %s","Bắt đầu %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Thư mục đích ""%s"" không tồn tại hoặc không có quyền để tạo ra nó."
"Total records: %s","Total records: %s"
"hour","hour"
"hours","hours"
"minute","minute"
"minutes","minutes"
