"""%s"" contains not only digit characters.","""%s"" chứa không chỉ các ký tự số."
"""%s"" does not fit the entered date format.","""%s"" không phù hợp với ngày tháng được nhập vào."
"""%s"" exceeds the allowed file size.","""%s"" vượt qua kích thướt được cho phép."
"""%s"" exceeds the allowed length.","""%s"" vướt quá độ dài được cho phép."
"""%s"" has not only alphabetic and digit characters.","""%s"" có không chỉ các ký tự chữ và ký tự số."
"""%s"" has not only alphabetic characters.","""%s"" có không chỉ các ký tự chữ."
"""%s"" height exceeds allowed value of %s px.","""%s"" chiều cao vượt quá giá trị cho phép %s px."
"""%s"" invalid type entered.","""%s"" Lọai được nhập vào không hợp lệ."
"""%s"" is a required value.","""%s"" là một giá trị được yêu cầu."
"""%s"" is an empty string.","""%s"" là một chuỗi rỗng."
"""%s"" is not a valid URL.","""%s"" không là một URL hợp lệ."
"""%s"" is not a valid date.","""%s"" không là một ngày tháng hợp lệ."
"""%s"" is not a valid email address.","""%s"" không là một địa chỉ email hợp lệ."
"""%s"" is not a valid file","""%s"" không là một file hợp lệ"
"""%s"" is not a valid file extension.","""%s""  is not a valid file extension."
"""%s"" is not a valid file.","""%s"" không là một file hợp lệ."
"""%s"" is not a valid hostname.","""%s"" không là một hostname hợp lệ."
"""%s"" is not a valid image format","""%s"" không là một định dạng hình ảnh hợp lệ"
"""%s"" length must be equal or greater than %s characters.","""%s"" chiều dài phải bằng hoặc lớn hơn ký tự %s"
"""%s"" length must be equal or less than %s characters.","""%s"" chiều dài phải bằng hoặc nhỏ hơn ký tự %s."
"""%s"" width exceeds allowed value of %s px.","""%s"" chiều rộng vượt quá giá trị cho phép là %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid URI hostname","'%value%' does not appear to be a valid URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"A joint field with this alias (%s) is already declared","A joint field with this alias (%s) is already declared"
"Add Option","Thêm tùy chọn"
"An error occurred while loading a record, aborting. Error: %s"," Một lỗi đã xuất hiện khi tải một mẫu tin, bỏ qua. Lỗi: %s"
"An error occurred while loading the collection, aborting. Error: %s","Một lỗi đã xuất hiện khi lưu một mẫu tin, bỏ qua. Lỗi: %s"
"An error occurred while saving a record, aborting. Error: ","Một lỗi xuất hiện khi lưu một mẫu tin, bỏ qua. Lỗi: "
"Attempt to add an invalid object","Nổ lực để thêm một đối tượng không hợp lệ"
"Attribute '%s' used in configurable products","Thuộc tính '%s' được dùng trong sản phẩm configurable"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn thuộc tính"
"Attribute Properties","Attribute Properties"
"Attribute object is undefined","Đối tượng thuộc tính không được định nghĩa"
"Attribute set with the ""%s"" name already exists.","Tập thuộc tính với  ""%s"" tên đã tồn tại."
"Attribute with the same code","Thuộc tính cùng mã"
"Can\'t create table: %s","Không thể tạo ra bảng: %s"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Current module EAV entity is undefined","Current module EAV entity is undefined"
"Current module pathname is undefined","Đường dẫn module hiện tại không được xác định"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Date","Date"
"Decimal Number","Số thập phân"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Default Product Listing Sort by not exists on Available Product Listing Sort By"
"Default Value","Giá trị mặc định"
"Default option value is not defined","Giá trị tùy chọn mặc định không được định nghĩa"
"Delete","Xóa"
"Dropdown","Dropdown"
"Email","Email"
"Entity collection expected.","Entity collection expected."
"Entity collections expected.","Entity collections expected."
"Entity instance is not defined","Khở tạo Entity không được định nghĩa"
"Entity is not initialized","Entity không được khởi tạo"
"Entity object is undefined","Đối tượng Entity không được định nghĩa"
"Failed to load node %s from config","Failed to load node %s from config"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols"
"Form Element with the same attribute","Form Element with the same attribute"
"Form Fieldset with the same code","Form Fieldset with the same code"
"Form Type with the same code","Form Type with the same code"
"Form code is not defined","Form code is not defined"
"Frontend label is not defined","Nhãn Frontend không được xác định"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer Number","Số integer"
"Invalid EAV attribute.","Thuộc tính EAV không hợp lệ."
"Invalid alias, already exists in joint attributes","Invalid alias, already exists in joint attributes"
"Invalid attribute name: %s","Tên thuộc tính không hơp lệ: %s"
"Invalid attribute requested: %s","Thuộc tính được yêu cầu không hợp lệ: %s"
"Invalid attribute type","Lọai thuộc tính không hơp lệ"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid date","Ngày tháng không hợp lệ"
"Invalid default date","Ngày tháng mặc định không hợp lệ"
"Invalid default decimal value","Giá trị thập phân mặc định không hợp lệ"
"Invalid entity specified","Entity được xác định không hợp lệ"
"Invalid entity supplied.","Entity được cung cấp không hợp lệ."
"Invalid entity supplied: %s","Entity được cung cấp không hợp lệ: %s"
"Invalid entity type","Lọai entity không hợp lệ"
"Invalid entity_id, skipping the record.","Entity_id không hợp lệ, giữ mẫu tin."
"Invalid entity_type specified: %s","Entity_type được xác định không hợp lệ: %s"
"Invalid foreign key","Khóa ngoại không hợp lệ"
"Invalid form type.","Invalid form type."
"Invalid joint fields","Invalid joint fields"
"Invalid store specified","Store được xác định không hợp lệ"
"Invalid type given. String expected","Lọai đưa ra không hợp lệ. Yêu cầu kiểu chuỗi"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Joint field or attribute expression with this alias is already declared","Joint field or attribute expression with this alias is already declared"
"Letters","Ký tự"
"Letters (a-z, A-Z) or Numbers (0-9)","Ký tự (a-z, A-Z) hoặc số (0-9)"
"Loaded %d records","Đã tải %d mẫu tin"
"Maximum length of attribute code must be less then %s symbols","Chiều dài tối đa của mã thuộc tính phải ít hơn biểu tương %s"
"Multiple Select","Nhiều lựa chọn"
"No","Không"
"No options found in config node %s","No options found in config node %s"
"None","None"
"Not shared with other products","Không được chia sẽ với sản phẩm khác"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Error: %s"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Required","Được yêu cầu"
"Saved %d record(s).","Đã lưu %d mẫu tin."
"Source model ""%s"" not found for attribute ""%s""","Source model ""%s"" not found for attribute ""%s"""
"System","Hệ thống"
"Text Area","Text Area"
"Text Field","Text Field"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Mã thuộc tính \'%s\' được bảo vệ bởi hệ thống. Xin vui lòng thử mã thuộc tính khác"
"The value of attribute ""%s"" must be unique","Giá trị thuộc tính ""%s"" phải là duy nhất."
"The value of attribute ""%s"" must be unique.","Giá trị thuộc tính ""%s"" phải là duy nhất."
"This attribute is used in configurable products","Thuộc tính này được dùng cho sản phẩm configurable "
"URL","URL"
"Unique Value","Giá trị duy nhất"
"Unique Value (not shared with other products)","Giá trị duy nhất (không được chia sẽ với sản phẩm khác)"
"Unknown parameter","Tham số không xác định"
"Values Required","Giá trị được yêu cầu"
"Wrong attribute group ID","Nhóm thuộc tính sai ID"
"Wrong attribute set ID","Thiết lập thuộc tính sai ID"
"Wrong entity ID","Wrong entity ID"
"Wrong type definition for %s","Wrong type definition for %s"
"Yes","Yes"
"Yes/No","Yes/No"
