"%s Item(s)","%s Item(s)"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","Nhấn(Shift-) hoặc kéo để thay đổi giá trị"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Giữ nút chuột trên bất kỳ nút trên để lựa chọn nhanh hơn."
"- Use the %s buttons to select month","- Sử dụng nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Sử dụng %s, Nút %s để chọn năm"
"- or Shift-click to decrease it","-Hoặc nhấn Shift để giảm nó"
"- or click and drag for faster selection.","- Hoặc nhấp chuột và kéo cho lựa chọn nhanh hơn."
"-- Please Select --","-- Xin vui lòng chọn --"
"1 column","1 cột"
"2 columns with left bar","2 cột với bar bên trái"
"2 columns with right bar","2 cột với bar bên phải"
"3 columns","3 cột"
"About the calendar","About the calendar"
"All Empty Layout Pages","Tất cả trang giao diện rỗng"
"All One-Column Layout Pages","Tất cả các trang giao diện 1 cột"
"All Pages","Tất cả các trang"
"All Pages (Print Version)","Tất cả cách trang (phiên bản in) "
"All Three-Column Layout Pages","Tất cả các trang giao diện 3 cột"
"All Two-Column Layout Pages (Left Column)","Tất cả các trang giao diện 2 cột (cột trái)"
"All Two-Column Layout Pages (Right Column)","Tất cả các trang giao diện 2 cột (cột phải)"
"Allow","Cho phép"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Chọn <a href=""%s"">ở đây</a> nếu không có gì đã xảy ra"
"Close","Đóng"
"Close Window","Đóng cửa sổ"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Lựa chọn ngày:"
"Default Description","Mô tả mặc định"
"Default welcome msg!","Thông điệp chào đóan mặc định!"
"Display %s first","Hiển thị %s đầu tiên"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Kéo để di chuyển"
"Empty","Rỗng"
"For latest version visit: %s","Viếng thăm phiên bản mới nhất: %s"
"Free Shipping on orders over 50$","Vận chuyển hóa đơn trên 50$"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Interface Language","Giao diện ngôn ngữ"
"Items %s to %s of %s total","Items %s to %s of %s total"
"JavaScript seems to be disabled in your browser.","JavaScript dường như bị vô hiệu hóa trên trình duyệt của bạn."
"Left Column","Cột trái"
"Main Content Area","Vùng nội dung chính"
"Navigation Bar","Navigation Bar"
"Next","Tiếp theo"
"Next month (hold for menu)","Tháng tới (giữ menu)"
"Next year (hold for menu)","Năm tới(giữ menu)"
"Page Bottom","Page Bottom"
"Page Footer","Cuối trang"
"Page Header","Page Header"
"Page Top","Page Top"
"Page:","Trang:"
"Prev. month (hold for menu)","Tháng trước(giữ menu)"
"Prev. year (hold for menu)","Năm trước(giữ menu)"
"Previous","Trước"
"Redirecting...","Chuyển hướng..."
"Report All Bugs","Báo cáo tất cả lỗi"
"Right Column","Cột phải"
"Select Store","Chọn Store"
"Select Store:","Chọn Store:"
"Select date","Chọn ngày"
"Show","Hiển thị"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Trang web này yêu cầu cookie để cung cấp tất cả các tính năng của nó. Để biết thêm thông tin những dữ liệu được chứa trong cookie, xin vui lòng xem <a href=""%s"">Trang chính sách bảo mật</a>. Để chấp nhận cookie từ trang web này, xin vui lòng chọn nút được cho phép bên dưới."
"Time selection:","Chọn thời gian:"
"Time:","Thời gian:"
"Welcome, %s!","Welcome, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Bạn phải mở JavaScript trên trình duyệt để sử dụng các chức năng của trang web này."
"Your Language","Ngôn ngữ của bạn"
"Your Language:","Ngôn ngữ của bạn:"
"per page","Mỗi trang"
