"""Remember Me"" Default Value","""Ghi nhớ"" giá trị mặc định"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Trường được yêu cầu"
"Address","Địa chỉ"
"Address Information","Thông tin địa chỉ"
"Already registered?","Bạn đã đăng ký chưa?"
"Back","Trởi lại"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot load configuration from file %s.","Không thể tải cấu hình từ file %s."
"Checkout as Guest","Thanh tóan như là khách"
"Checkout as a Guest or Register","Thanh tóan như là khách hoặc người đăng ký"
"City","Thành phố"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Đóng"
"Company","Công ty"
"Confirm Password","Xác nhận Password"
"Continue","Tiếp tục"
"Country","Quốc gia"
"Create an Account","Tạo ra một tài khỏan"
"Easy access to your order history and status","Dễ dàng truy cập vào lịch sử và trạng thái hóa đơn của bạn"
"Email Address","Địa chỉ email"
"Enable ""Remember Me""","Cho phép ""Ghi nhớ"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Thanh tóan nhanh và dễ dàng"
"Fax","Fax"
"Forgot Your Password?","Bạn có quên mật khẩu không?"
"Forgot your password?","Bạn có quên mật khẩu không?"
"General Options","Tùy chọn chung"
"If you have an account with us, please log in.","Nếu bạn có tài khỏan của chúng tôi, xin vui lòng đăng nhập."
"Loading next step...","Tải bướt kế tiếp..."
"Login","Đăng nhập"
"Login Information","Thông tin đăng nhập"
"Login or Create an Account","Đăng nhập hoặc tạo một tài khỏan"
"New Customers","Khách hàng mới"
"Password","Mật khẩu"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Thông tin cá nhân"
"Please log in below:","Xin vui lòng đăng nhập bên dưới:"
"Please select region, state or province","Xin vui lfong chọn vùng, tiểu bang hoặc tỉnh"
"Register","Đăng ký"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Register to Create an Account","Đăng ký để tạo tài khỏant"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Khách hàng đã đăng ký"
"Remember Me","Ghi nhớ"
"Save in address book","Lưu trong address book"
"Select State/Province...","Chọn Bang/Tỉnh..."
"Select a billing address from your address book or enter a new address.","Chọn địa chỉ thanh tóan từ address book  hoặc nhập địa chỉ mới."
"Ship to different address","Vận chuyển tới nhiều địa chỉ khác nhau"
"Ship to this address","Vận chuyển tới địa chỉ này"
"Shopping cart has been updated with appropriate prices","Giỏ hàng đã được cập nhật với giá phù hợp"
"Sign Up for Newsletter","Đăng ký Newsletter"
"State/Province","Bang/Tỉnh"
"Street Address","Địa chỉ đường"
"Street Address %s","Địa chỉ đường %s"
"Submit","Gởi"
"Telephone","Điện thọai"
"To proceed to Checkout, please log in using your email address.","Để tiến hành thanh tóan. Xin vui lòng đăng nhập bằng địa chỉ email của bạn."
"VAT Number","Sô sVAT"
"Welcome, %s!","Chào mừng, %s!"
"What\'s this?","What\'s this?"
"Zip/Postal Code","Zip/Postal Code"
