"%s - Discounts and Coupons","%s - Giảm giá và phiếu giảm giá"
"%s - Special Products","%s - Sản phẩm đặc biệt"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s đã đạt được số lượng của %s."
"%s\'s Wishlist","%s\'s Wishlist"
"Cannot retrieve the wishlist","Không thể lấy wishlist"
"Catalog","Danh mục"
"Category Feeds","Danh mục Feeds"
"Click for price","Click for price"
"Comment: %s<br/>","Góp ý: %s<br/>"
"Coupons/Discounts","Phiếu giảm giá/Giảm giá"
"Current Status: %s<br/>","Trạng thái hiện tại: %s<br/>"
"Customer Name: %s","Tên khách hàng: %s"
"Customer Order Status Notification","Customer Order Status Notification"
"Details for %s #%s","Details for %s #%s"
"Discount","Giảm giá"
"Discount (%s)","Giảm giá (%s)"
"Enable RSS","Cho phép RSS"
"Error in processing xml. %s","Lỗi xử lý xml. %s"
"From:","Từ:"
"Get Feed","Get Feed"
"Gift Message","Gift Message"
"Grand Total","Grand Total"
"Low Stock Products","Low Stock Products"
"Message:","Message:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","New Orders"
"New Products","Sản phẩm mới"
"New Products from %s","Sản phẩm mới từ %s"
"Notified Date: %s<br/>","Ngày được thông báo: %s<br/>"
"Order # %s Notification(s)","Order # %s Notification(s)"
"Order #%s created at %s","Hóa đơn #%s đựơc tạo tại %s"
"Pending product review(s)","Pending product review(s)"
"Product: ""%s"" review By: %s","Product: ""%s"" review By: %s"
"Product: <a href=""%s"">%s</a> <br/>","sản phẩm: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Products tagged with %s"
"Purchased From: %s","Được mua từ: %s"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","Danh sách RSS Feeds"
"RSS Feeds Section","Mục RSS Feeds"
"Review: %s <br/>","Review: %s <br/>"
"Rss Config","Cấu hình Rss "
"Shipping &amp; Handling","Shipping &amp; Handling"
"Special Products","Sản phẩm đặc biệt"
"Store: %s <br/>","Store: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Summary of review: %s <br/>"
"Tags Products","Tags Products"
"Tax","Tax"
"There are no Rss Feeds","There are no Rss Feeds"
"To:","To:"
"Top Level Category","Top Level Category"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Wishlist"
"click <a href=""%s"">here</a> to view the review","Chọn <a href=""%s"">ở đây</a> để hiển thị review"
