"ALL","ALL"
"ANY","ANY"
"Add","Add"
"Apply","Apply"
"Conditions Combination","Điều kiện kết hợp"
"Customer Groups must be specified.","Nhóm khách hàng phải được xác định."
"End Date must be greater than Start Date.","Ngày kết thúc phải lớn hơn ngày bắt đầu."
"FALSE","FALSE"
"If %s of these conditions are %s:","Nếu %s của những điều kiện này là %s:"
"Invalid discount amount.","Số tiền giảm giá không hợp lệ."
"Open Chooser","Open Chooser"
"Perform following actions","Thực hiện những hành động sau"
"Please choose a condition to add...","Xin vui lòng chọn một điều kiện để thêm..."
"Please choose an action to add...","Xin vui lòng chọn một hành động để thêm..."
"Remove","Gỡ bỏ"
"TRUE","TRUE"
"Websites must be specified.","Websites phải được xác định."
"by","by"
"contains","Chứa"
"does not contain","Khong chưá"
"equals or greater than","Bằng hoặc lớn hơn"
"equals or less than","Bằng hoặc nhỏ hơn"
"greater than","Lớn hơn"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","Mộ trong những"
"less than","Nhỏ hơn"
"to","to"
