"%s","%s"
"-- Please Select --","-- Xin vui lòng chọn --"
"Actions","Actions"
"Add Layout Update","Thêm cập nhật Layout"
"Add New Widget Instance","Add New Widget Instance"
"All","Tất cả"
"All Pages","Tất cả các trang"
"All Product Types","Tất cả lọai sản phẩm "
"Anchor Categories","Danh mục Anchor"
"Apply","Apply"
"Assign to Store Views","Gán tới Store Views"
"Big Image","Big Image"
"Block Reference","Block tham chiếu"
"CMS","CMS"
"Categories","Danh mục"
"Choose...","Chọn..."
"Close","Đóng"
"Continue","Tiếp tục"
"Default Template","Template mục định"
"Delete","Xóa"
"Design Package/Theme","Design Package/Theme"
"Export to:","Export to:"
"Frontend Properties","Thụôc tính Frontend"
"Generic Pages","Generic Pages"
"Images","Images"
"Insert Widget","Insert Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Trang kế"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Không đựơc chon"
"Open Chooser","Open Chooser"
"Page","Page"
"Please Select Block Reference First","Xin vui lòng chọn Block tham chiếu đầu tiên"
"Previous page","Trang trước"
"Products","Sản phẩm"
"Remove Layout Update","Gỡ bỏ cập nhật layout"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Select All","Chọn tất cả"
"Select Visible","Select Visible"
"Settings","Cài đặt"
"Sort Order","Sắp xếp theo thứ tự"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Cụ thể %s"
"Specified Page","Trang cụ thể"
"Template","Template"
"The information in this tab has been changed.","Thông tin trong tab này đã được thay đổi."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","Tab này chứa dữ liệu không hợp lệ. Xin vui lòng xử lý lỗi trước khi lưu."
"Thumbnail","Thumbnail"
"Total %d records found","Total %d records found"
"Type","Type"
"Unselect All","Không chọn tất cả"
"Unselect Visible","Unselect Visible"
"View","View"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Lọai Widget không được xác định"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","items selected"
"of %s pages","of %s pages"
"per page","Mỗi trang"
